,"Moolib (Resnet CNN) 1 A100, 10 CPU","Moolib (Resnet CNN) 8 A100, 80 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
PrivateEye-v5,55.26 ± 12.60,40.68 ± 17.44,97.63 ± 0.83,119.91 ± 28.15,97.64 ± 1.64,78.41 ± 27.05
Qbert-v5,16340.95 ± 2541.02,14824.45 ± 934.76,22198.59 ± 727.63,20182.24 ± 1415.62,17049.57 ± 1491.47,17491.43 ± 1585.57
Riverraid-v5,7664.13 ± 731.16,6394.78 ± 2671.12,17869.65 ± 3940.39,19726.22 ± 4118.38,9690.94 ± 1784.83,9625.52 ± 1314.51
RoadRunner-v5,42464.84 ± 1713.04,35879.97 ± 1964.98,52644.88 ± 5239.61,57527.74 ± 7946.48,83099.71 ± 62384.90,69799.92 ± 19725.09
Robotank-v5,37.08 ± 4.93,30.50 ± 1.56,39.71 ± 3.65,39.35 ± 2.76,39.68 ± 2.89,39.18 ± 1.98
Seaquest-v5,953.94 ± 0.83,1079.86 ± 183.89,2029.83 ± 370.30,2028.38 ± 372.17,1860.14 ± 23.21,1884.85 ± 3.91
Skiing-v5,-9011.07 ± 0.07,-29998.00 ± 0.00,-12224.36 ± 2187.07,-29998.00 ± 0.00,-10861.93 ± 2617.40,-18076.01 ± 8798.20
Solaris-v5,2011.13 ± 61.30,2107.14 ± 72.68,2428.10 ± 68.32,2382.64 ± 30.84,2062.95 ± 48.15,2060.76 ± 70.72
SpaceInvaders-v5,2039.58 ± 867.43,1165.68 ± 98.17,28766.28 ± 1052.09,32596.29 ± 3147.17,10613.64 ± 5643.21,4520.56 ± 3194.44
StarGunner-v5,61890.84 ± 11620.85,56712.16 ± 3793.15,156830.72 ± 4798.11,156508.44 ± 3516.93,75353.60 ± 3685.87,73785.90 ± 2405.85
Surround-v5,6.41 ± 0.74,1.52 ± 2.63,5.30 ± 0.18,6.85 ± 0.07,5.84 ± 1.37,4.48 ± 1.01
Tennis-v5,-7.39 ± 9.25,-1.29 ± 0.31,22.82 ± 0.08,23.19 ± 0.00,8.70 ± 11.22,-0.59 ± 0.34
TimePilot-v5,27433.14 ± 2443.59,18708.90 ± 2879.38,18043.59 ± 2101.02,18676.72 ± 2587.82,27553.52 ± 2712.78,27643.60 ± 2197.54
Tutankham-v5,202.51 ± 44.21,181.80 ± 53.83,263.22 ± 2.73,253.05 ± 13.78,252.46 ± 17.39,259.71 ± 7.33
UpNDown-v5,285875.95 ± 26181.08,207153.66 ± 18176.48,222275.46 ± 5648.89,223842.97 ± 27032.99,246934.51 ± 14617.98,283092.78 ± 6728.41
Venture-v5,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.56 ± 0.80
VideoPinball-v5,387122.05 ± 46778.30,320753.23 ± 78074.10,491802.85 ± 15620.52,464522.31 ± 15013.12,495119.85 ± 25678.01,449358.32 ± 22848.16
WizardOfWor-v5,9364.97 ± 664.87,5373.24 ± 359.77,9750.21 ± 628.39,8258.84 ± 604.16,8923.09 ± 241.67,8662.96 ± 231.21
YarsRevenge-v5,81875.04 ± 7453.78,69188.34 ± 1188.21,90594.22 ± 1027.05,90883.15 ± 3466.95,85251.70 ± 10665.64,88135.13 ± 2297.91
Zaxxon-v5,11399.46 ± 8058.50,14906.25 ± 2720.45,23436.26 ± 596.83,26789.08 ± 2554.59,24088.52 ± 2099.43,27822.17 ± 3746.30
