,"CleanRL PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU","Cleanba PPO, 8 A100, 46 CPU","Cleanba IMPALA (Sync), 8 A100, 46 CPU","Cleanba IMPALA, 8 A100, 46 CPU"
Solaris-v5,2171.06 ± 149.77,2060.76 ± 70.72,2043.70 ± 23.65,2265.97 ± 138.22,2382.64 ± 30.84
SpaceInvaders-v5,13521.44 ± 7942.57,4520.56 ± 3194.44,6338.88 ± 1728.71,26598.26 ± 1360.71,32596.29 ± 3147.17
StarGunner-v5,86854.21 ± 4447.09,73785.90 ± 2405.85,70366.89 ± 1921.32,146000.96 ± 2484.73,156508.44 ± 3516.93
Surround-v5,4.05 ± 2.10,4.48 ± 1.01,5.10 ± 1.12,7.33 ± 0.15,6.85 ± 0.07
Tennis-v5,9.85 ± 9.90,-0.59 ± 0.34,-0.80 ± 0.25,23.16 ± 0.03,23.19 ± 0.00
TimePilot-v5,33470.54 ± 1762.76,27643.60 ± 2197.54,25840.42 ± 559.29,18358.43 ± 2305.99,18676.72 ± 2587.82
Tutankham-v5,265.25 ± 0.41,259.71 ± 7.33,252.00 ± 17.81,259.69 ± 2.97,253.05 ± 13.78
UpNDown-v5,338981.28 ± 5941.58,283092.78 ± 6728.41,289330.74 ± 7329.41,243885.95 ± 13255.84,223842.97 ± 27032.99
Venture-v5,58.89 ± 83.29,0.56 ± 0.80,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
VideoPinball-v5,493679.32 ± 36253.76,449358.32 ± 22848.16,395259.07 ± 16738.04,492408.04 ± 17681.63,464522.31 ± 15013.12
WizardOfWor-v5,10372.66 ± 825.14,8662.96 ± 231.21,7056.36 ± 570.48,8879.33 ± 760.69,8258.84 ± 604.16
YarsRevenge-v5,91943.48 ± 8281.11,88135.13 ± 2297.91,60922.46 ± 3482.41,93269.54 ± 2467.03,90883.15 ± 3466.95
Zaxxon-v5,30167.63 ± 953.58,27822.17 ± 3746.30,20106.70 ± 3124.57,23413.51 ± 428.65,26789.08 ± 2554.59
